time_stamp, total time, matches num, keypoints num, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1669817740.90888071,0.17574794,165,271,0,272965,0.00000000,274332,2826,40445920,0.00000000
1669817741.00916696,0.19833370,177,286,0,274332,0.00000000,275072,2072,40445920,0.00000000
1669817741.10937715,0.18955707,214,276,0,275072,0.00000000,276389,2429,40445920,0.00000000
1669817741.21208167,0.17503756,182,267,0,276389,0.00000000,276961,2223,40445920,0.00000000
1669817741.31263185,0.17458629,161,265,0,276555,0.00000000,277589,2224,40445920,0.00000000
1669817741.41245222,0.18111339,179,268,0,277589,0.00000000,278692,2556,40445920,0.00000000
1669817741.51330709,0.18545599,166,269,0,278692,0.00000000,279846,2550,40445920,0.00000000
1669817741.61114216,0.17613259,240,305,0,279846,0.00000000,280080,2681,40445920,0.00000000
1669817741.71161079,0.16954259,215,273,0,278492,0.00000000,279946,2451,40445920,0.00000000
1669817741.81069160,0.17701987,172,260,0,279946,0.00000000,281310,2357,40445920,0.00000000
1669817741.91307855,0.19204956,186,311,0,281310,0.00000000,282558,3071,40445920,0.00000000
1669817742.01259756,0.17434455,151,305,0,281458,0.00000000,282847,2639,40445920,0.00000000
1669817742.11341357,0.19303748,173,274,0,282847,0.00000000,284269,2677,40445920,0.00000000
1669817742.21367407,0.17976543,201,269,0,276363,0.00000000,278117,2914,40445920,0.00000000
1669817742.31438088,0.17800652,178,263,0,278117,0.00000000,279729,2830,40445920,0.00000000
1669817742.41532516,0.17799069,186,258,0,279729,0.00000000,280780,2338,40445920,0.00000000
1669817742.51428628,0.18039061,172,275,0,280780,0.00000000,281781,2449,40445920,0.00000000
1669817742.61448431,0.17495666,168,251,0,281781,0.00000000,283206,2504,40445920,0.00000000
1669817742.71299338,0.17849383,187,248,0,283206,0.00000000,284664,3200,40445920,0.00000000
1669817742.81236792,0.17609576,125,257,0,284664,0.00000000,285955,2362,40445920,0.00000000
1669817742.91235113,0.16708716,159,233,0,285955,0.00000000,287100,2035,40445920,0.00000000
1669817743.01237845,0.17109929,150,251,0,286498,0.00000000,288432,3016,40445920,0.00000000
1669817743.11188269,0.17225615,115,262,0,288432,0.00000000,290106,2975,40445920,0.00000000
1669817743.21271968,0.17302266,165,269,0,287653,0.00000000,288559,2111,40445920,0.00000000
1669817743.31423211,0.18063033,179,260,0,288559,0.00000000,289778,2865,40445920,0.00000000
1669817743.41417575,0.17024206,134,257,0,289778,0.00000000,291034,2421,40445920,0.00000000
1669817743.51410723,0.17379369,165,263,0,291034,0.00000000,292458,2186,40445920,0.00000000
1669817743.61449742,0.16900529,144,267,0,292458,0.00000000,293787,2354,40445920,0.00000000
1669817743.71340561,0.16803065,170,276,0,293461,0.00000000,294825,2394,40445920,0.00000000
1669817743.81300068,0.17829996,186,274,0,294825,0.00000000,296348,3119,40445920,0.00000000
1669817743.91137862,0.18653358,192,296,0,296348,0.00000000,297357,2629,40445920,0.00000000
1669817744.01118565,0.17599477,168,273,0,297357,0.00000000,298849,2308,40445920,0.00000000
